TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals;;;;;;;
br.com.petdelivery.jdbc.modelo.Tipo_Animal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,49,49
br.com.petdelivery.jdbc.modelo.Unidade_Petshop,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,205,205
br.com.petdelivery.jdbc.modelo.Usuario,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,175,175
br.com.petdelivery.jdbc.teste.TestaConexao,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.675,15,10
br.com.petdelivery.jdbc.teste.TestaRaca_Animal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5052083333333333,34,9
br.com.petdelivery.jdbc.teste.TestaTipo_Animal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7864583333333333,23,17
br.com.petdelivery.jdbc.teste.TestaUsuario,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7961479786422578,57,49
br.com.petdelivery.mvc.logica.UsuarioSelectLogic,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5625,18,10
br.com.petdelivery.servlet.AdicionaUsuarioServlet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7864906832298137,86,18
br.com.petdelivery.controller.HomePrestadorController,LINE,0.47058823529411764,34,16;;;;;;;
br.com.petdelivery.controller.HomeUsuarioController,LINE,0.5666666666666667,60,34;;;;;;;
br.com.petdelivery.controller.IndexController,LINE,0.625,24,15;;;;;;;
br.com.petdelivery.controller.LoginController,LINE,0.09375,32,3;;;;;;;
br.com.petdelivery.jdbc.ConnectionFactory,LINE,0.9642857142857143,28,27;;;;;;;
br.com.petdelivery.jdbc.dao.Agenda_ServicoDAO,LINE,0.045454545454545456,44,2;;;;;;;
br.com.petdelivery.jdbc.dao.AnimalDAO,LINE,0.03773584905660377,53,2;;;;;;;
br.com.petdelivery.jdbc.dao.AutonomoDAO,LINE,0.03389830508474576,59,2;;;;;;;
br.com.petdelivery.jdbc.dao.HelperDAO,LINE,0.15384615384615385,13,2;;;;;;;
br.com.petdelivery.jdbc.dao.PetshopDAO,LINE,0.05263157894736842,38,2;;;;;;;
br.com.petdelivery.jdbc.dao.PrestadorDAO,LINE,0.010309278350515464,194,2;;;;;;;
